,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
149,Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,54990,67.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,14,1920,1080,Windows 11 OS,1
150,Asus,Vivobook 15 X1502ZA-EJ532WS Laptop,46999,64.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
151,Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,83990,65.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 OS,1
152,HP,Victus 15-fb0108AX Gaming Laptop,51499,67.0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
153,Dell,Vostro 3425 M552321WIN9S Laptop,50990,68.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
154,HP,Chromebook 15a-na0012TU Laptop,23990,,Intel Celeron  N4500,"Dual Core, 2 Threads",4GB,LPDDR4x,128GB,Hard-Disk,Intel Integrated UHD Graphics,15.6,1366,768,Chrome OS,1
155,Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,27990,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon Graphiics,15.6,1920,1080,Windows 11 OS,1
156,HP,Pavilion x360 14-ek1010TU Laptop,79990,70.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
157,Samsung,Galaxy Book 3 NP750XFG-KA3IN Laptop,84390,60.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4x,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
158,Infinix,INBook Y1 Plus Laptop,24990,,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8GB,LPDDR4X,256GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
159,Samsung,Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop,281990,82.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5,1TB,SSD,NVIDIA GeForce RTX 4070,16,2880,1800,Windows 11 OS,1
160,Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,26590,,AMD Athlon 7120U,"Dual Core, 2 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M Graphics,15.6,1366,768,Windows 11 OS,1
161,Infinix,INBook X2 Slim Series XL23 2023 Laptop,37990,60.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,LPDDR4X,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
162,Asus,Vivobook Pro 15 M6500RC-HN741WS Laptop,71189,70.0,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
163,HP,Victus 16-s0095AX Gaming Laptop,85999,76.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,16.1,1920,1080,Windows 11 OS,1
164,Lenovo,Yoga 7 82YM0074IN Laptop,93990,80.0,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,AMD Radeon Graphics,14,2880,1800,Windows 11 OS,1
165,Gigabyte,G5 MF-F2IN313SH Laptop,71990,67.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,2
166,Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,84990,69.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14,3840,2400,Windows 11 OS,1
169,Lenovo,IdeaPad Slim 5 16IRL8 82XF003JIN Laptop,82990,64.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,,512GB,SSD,Integrated Intel Iris Xe Graphics,16,1920,1080,Windows 11 OS,1
170,Dell,Inspiron 3530 2023 Laptop,44190,,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR4,1TB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
172,Acer,Predator 16 NH.QLUSI.005 Laptop,159990,79.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
173,HP,Victus 15-fb0134AX Gaming Laptop,52990,70.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
177,Acer,Aspire Lite 2023 AL15-51 Laptop,39990,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
178,Dell,Inspiron 2023 14 5430 Laptop,73990,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,1
179,Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,57500,70.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GTX 1650,15.6,1920,1080,Windows 11 OS,1
180,Asus,Vivobook Pro 15 M6500QF-HN521WS Laptop,59990,60.0,5th Gen AMD Ryzen 5 5600HS,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
181,Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,53990,69.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1
182,Asus,VivoBook 14 X415EA-EK326WS Notebook,33990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,1920,1080,Windows 11 OS,1
184,Dell,Inspiron 5630 Laptop,75990,70.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,16,2560,1600,Windows 11 OS,1
185,Apple,MacBook Air 15 2023 Laptop,144990,,Apple M2,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,10-Core GPU,15.3,2880,1864,Mac OS,1
186,Asus,Vivobook 15 X1502ZA-EJ542WS Laptop,60539,64.0,12th Gen Intel Core i5 12500H ,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
187,Asus,Vivobook 15 M1502QA-EJ742WS Laptop,56990,,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon,15.6,1920,1080,Windows OS,1
